kanji,hanzi,meaning_vi,meaning_en,jlpt_level,onyomi,kunyomi,stroke_count,radical_utf,radical_name_ja,radical_meaning,story,num_vocab_examples,prev_kanji,next_kanji
瓶,BÌNH,Cái bình,"bottle, vial, jar, jug, vat, urn",N2,ビン,かめ,11,⽡,かわら,tile,Yêu tinh (并) dùng ngói (瓦) xếp thành cái bình (瓶),3,刑,勇
両,LƯỠNG,Cả hai,"both, old Japanese coin, counter for carriages (e.g., in a train), two",N2,リョウ,"てる, ふたつ",6,⼀,いち,"one, horizontal stroke",Cả hai (両) đều 1 (一) mình đi qua biên giới (冂) đến ngọn núi (山),8,勇,違
衛,VỆ,Vệ tinh,"defense, protection",N2,エイ,,16,⾏,ぎょうがまえ,to go,Đi (行) vi (韋) hành đến các vệ tinh (衛),6,偉,充
舞,VŨ,Khiêu vũ,"dance, flit, circle, wheel",N2,ブ,ま、まう、まい,15,⾇,まいあし,"contrary, to err",Có người nằm (𠂉) trên hàng rào bị hen suyễn (舛) nhưng vẫn khiêu vũ (舞),8,値,我
融,DUNG,Dung môi,"dissolve, melt",N2,ユウ,"と.ける, と.かす",16,虫,れき,insect,10 (ō) năm 4 (内) Tháng (Ｔ) côn trùng (虫) tan chảy thành dung môi (融),8,統,契
喫,KHIẾT,Ăn uống,"consume, eat, drink, smoke, receive (a blow)",N2,キツ,の.む,12,,くちへん,mouth,Miệng (口) vừa bàn khế ước (契) vừa ăn uống (喫),8,契,潔
契,KHẾ,Khế ước,"pledge, promise, vow",N2,ケイ,ちぎ.る,9,大,かたな,"big, very",Ông vua lòi đầu (主) cầm đao (刀) to (大) làm khế ước (契),6,融,喫
捜,SƯU,Sưu tầm,"search, look for, locate",N2,ソウ,さが、さがす,10,⺘,てへん,hand,Tay (扌) thu thập những thứ thân (申) thuộc lại (又) để sưu tầm (捜),6,承,渡
劇,KỊCH,Diễn kịch,"drama, play",N2,ゲキ,,15,⺉,りっとう,"knife, sword",Hổ (虍) và lợn (豕) cầm đao (刂) diễn kịch (劇),5,越,叫
換,HOÁN,Hoán đổi,"interchange, period, change, convert, replace, renew",N2,カン,かえる、かわる、か,12,⺘,てへん,hand,Tay (扌) bị móc (ク) tứ (四) đại (大) mỹ nhân hoán đổi (換),14,勢,拒
得,ĐẮC,Đắc ý,"gain, get, find, earn, acquire, can, may, able to, profit, advantage, benefit",N2,トク,える、うる、え、う,11,⼻,ぎょうにんべん,"step, stride, street, to go",2 người đứng (彳) vào dịp Tết Nguyên Đán (旦) không thấy thốn (寸) mà còn đắc ý (得),19,尊,勢
覧,LÃM,Triển lãm,"perusal, see",N2,ラン,み.る,17,⾒,みる,to see,Đại thần (臣) nằm (𠂉) 1 (一) mình xem (見) triển lãm (覧),5,距,蔵
蔵,TÀNG,Tàng trữ,"storehouse, hide, own, have, possess",N2,ゾウ,くら,15,⺾,くさかんむり,grass,Cỏ mọc um tùm (茂) là nơi đại thần (臣) tàng trữ (蔵) đồ,4,覧,臓
張,TRƯƠNG,Căng,"counter for bows & stringed instruments, stretch, spread, put up (tent)",N2,チョウ,はる、はり、は,11,,ゆみへん,bow（in archery）,Cung (弓) dài (長) được kéo căng (張),24,噴,帳
距,CỰ,Cự ly,"long-distance, spur, fetlock",N2,キョ,"へだ.たる, けづめ",12,足,あし,foot,Chân (足) to (巨) chạy được cự ly (距) lớn,2,拒,覧
殿,ĐIỆN,Cung điện,"Mr., hall, mansion, palace, temple, lord",N2,デン、テン,との,13,⽎,るまた,"lance shaft, action",Xác chết (尸) nơi công cộng (共) bị kẻ thù (殳) mang vào cung điện (殿),3,般,撃
需,NHU,Nhu cầu,"demand, request, need",N2,ジュ,,14,雨,あめ,rain,Nhu cầu ( 需) tắm mưa (雨) của thiếu nhi (而),4,批,端
仁,NHÂN,Nhân nghĩa,"humanity, virtue, benevolence, charity, man, kernel",N1,ジン、ニン,,4,⺅,にんべん,person ,Giữa hai  (二)  con người (亻) với nhau luôn phải có lòng nhân đạo và nhân nghĩa (仁),0,離,曰
離,LI,Cách ly,"detach, separation, disjoin, digress",N2,リ,はなれる、はなす、はな,18,⾫,ふるとり,small bird,Chiếc li (高) chim (隹) uống cần cách ly (離),7,災,仁
曰,VIẾT,Nói rằng,"humanity, virtue, benevolence, charity, man, kernel",N1,エツ,"いわ.く, のたま.う, のたま.わく, ここに",4,日,いち,"sun, day",Ngậm 1 (ー) cây VIẾT (曰) vào miệng (口),0,仁,峠
洒,SÁI,Vẩy nước,"wash, sprinkle",N1,"シャ, ソン, サイ, セン, セイ","すす.ぐ, あら.う",9,水,さんずい,water,Em THUỶ (氵) đi TÂY (西) về ăn mặc rất SÁI LẠC お洒落 (おしゃれ) - Sành điệu,1,峠,酉
汽,KHÍ,Hơi nước,"vapor, steam",N1,キ,,7,⺡,さんずい,water,Nước (氵) chuyển sang thể khí (气) gọi là hơi nước (汽),2,幌,佐
拓,THÁC,Khai thác,"clear (the land), open, break up (land)",N1,タク,ひら.く,8,手,てへん,hand,Tay (扌) đập đá (石) để khai thác (拓),1,佐,妬
麺,MIẾN,Mì sợi,"noodles, wheat flour",N1,"メン, ベン",むぎこ,16,麥,むぎ,wheat,Lúa mạch (麦) được ép 2 mặt (面) thành mì sợi (麺),0,妬,矢
叱,SẤT,La mắng,"scold, reprove",N1,"シツ, シチ, カ",しか.る,5,口,くち,"mouth, opening",Miệng (口) sếp cả tuần 7 (七) ngày đều la mắng (叱) nhân viên,1,酉,幌
吟,NGÂM,Ngâm thơ,"versify, singing, recital",N1,ギン,,7,口,くち,"mouth, opening",Miệng (口) bây giờ (今) đang ngâm thơ (吟),1,牡,頷
嶺,LĨNH,Đỉnh núi,"peak, summit",N1,"レイ, リョウ",みね,17,山,やま,mountain,Tướng quân đứng trên đỉnh núi (嶺) núi (山) lãnh đạo (領) quân đội,0,鯰,零
零,LINH,Số 0,"zero, spill, overflow, nothing, cipher",N1,レイ,"ぜろ, こぼ.す, こぼ.れる",13,⻗,あめかんむり,rain,Cầu mưa (雨) bằng lệnh (令) bài mà mãi 0 linh (零),2,嶺,鈴
継,KẾ,Thừa kế,"inherit, succeed, continue, patch, graft (tree)",N1,ケイ,"つ.ぐ, まま-",13,糸,いと,silk,Thừa kế ( 継) cửa hàng tơ (糸) và gạo (米) rất Lớn (L),6,襖,噛
粥,CHÚC,Cháo,rice gruel,N1,"イク, シュク, ジュク","かゆ, かい, ひさ.ぐ",12,米,ゆみ,rice,Dùng 2 cây cung (弓) ép nước gạo (米) nấu cháo (粥),0,籾,榊
籾,GẠO,Thóc,"unhulled rice, (kokuji)",N1,,もみ,9,米,こめ,rice,Gạo (米) vẫn nằm trong lớp vỏ sắc nhọn (刃) gọi là thóc (籾),0,噛,粥
褒,BAO,Khen ngợi,"praise, extol",N1,ホウ,ほ.める,15,衣,ころも,clothes,Khen ngợi (褒) nhân viên bảo vệ (保) mặc y phục (衣) quá đẹp !,2,呆,染
障,CHƯỚNG,Chướng ngại,"hinder, hurt, harm",N1,ショウ,さわ、さわる,14,⻖,こざとへん,"hill, mound",Em Bồ (阝) bụng chương (章) gây chướng ngại (障),9,臆,彰
拉,LẠP,Lôi kéo,"Latin, kidnap, crush",N1,"ラツ, ラ, ロウ","らっ.する, ひし.ぐ, くだ.く",8,手,てへん,hand,Tay (扌) không đứng (立) yên mà còn lôi kéo (拉),0,詠,笠
筈,QUÁT,Chắc chắn,"notch of an arrow, ought, must, should be, expected",N1,カツ,"はず, やはず",12,竹,たけ,bamboo,Chắc chắn (筈) Trúc (竹) đã uốn lưỡi (舌) trước khi nói,0,括,搾
閑,NHÀN,Nhàn rỗi,leisure,N1,カン,,12,門,もんがまえ,gate,Nhàn rỗi (閑) nên ra cổng (門) trồng cây (木),0,詐,閃
詐,TRÁ,Dối trá,"lie, falsehood, deceive, pretend",N1,サ,いつわ.る,12,言,げん,speech,Lời nói (言) bị Ép (乍) là dối trá (詐),1,搾,閑
欄,LAN,Lan can,"column, handrail, blank, space",N1,ラン,てすり,20,木,き,tree,Chặt cây (木) ở cổng (門) phía đông (束) để làm lan can (欄),1,潤,蘭
及,CẬP,Phổ cập,"reach out, exert, exercise, cause",N1,キュウ,"およ.ぶ, およ.び, および, およ.ぼす",3,又,の,right hand,Hiện nay người (人) đi bar (3) khá phổ cập (及),6,爛,扱
妃,PHI,Phi tần,"queen, princess",N1,ヒ,きさき,6,女,おんな,"woman, female",Người phụ nữ (女) thứ 2 (己) của vua được gọi là phi tần (妃),0,忌,肢
肢,CHI,Tay chân,"limb, arms & legs",N1,シ,,8,肉,つき,meat,"Nguyệt (月) mở chi nhánh (支) làm móng tay, móng chân (肢)",0,妃,伎
搭,ĐÁP,Đáp lên,"board, load (a vehicle), ride",N1,トウ,,12,手,てへん,hand,Tay (扌) cầm cỏ (艹) thích hợp (合) đáp lên (搭) máy bay,0,霜,塔
畔,BẠN,Bờ ruộng,"paddy ridge, levee",N1,ハン,"あぜ, くろ, ほとり",10,田,た,field,Ruộng (田) bán nửa (半) cho bạn làm bờ (畔),0,伴,絆
鹸,KIỀM,Xà phòng,saltiness,N1,"ケン, カン, セン",あ.く,19,鹵,しお,salt,Xà phòng kiềm (鹸) phải dùng cả chai (鹵) mới giặt sạch áo yếm,1,剣,婆
志,CHÍ,Ý chí,"intention, plan, resolve, aspire, motive, hopes, shilling",N1,シ,こころざ、こころざす、こころざし,7,⼼,こころ,"heart, mind, spirit",Binh sĩ (士) trong tâm (心) có ý chí (志) mạnh mẽ,3,披,苺
芯,TÂM,Cái lõi,wick,N1,シン,,7,艸,くさかんむり,grass,Cỏ (艹) có tâm (心) là cái lõi (芯),0,繁,秘
妨,PHƯƠNG,Phương hại,"disturb, prevent, hamper, obstruct",N1,ボウ,さまた.げる,7,女,おんな,"woman, female",Phụ nữ (女) đi khắp bốn phương (方) gây phương hại (妨),3,芳,紡
密,MẬT,Bí mật,"secrecy, density (pop), minuteness, carefulness",N1,ミツ,ひそ.か,11,⼧,うかんむり,"roof, house",Nhà (宀) tất yếu (必) xây trên núi (山) là có chứa bí mật (密),7,泌,蜜
房,PHÒNG,Căn phòng,"tassel, tuft, fringe, bunch, lock (hair), segment (orange), house, room",N1,ボウ,ふさ,8,戶,と,"door, house",Căn phòng (房) có cửa (戸) mở ra khắp bốn phương (方),4,紡,倣
謗,BÁNG,Phỉ báng,"slander, disparage, censure, criticize",N1,"ボウ, ホウ",そし.る,17,言,げん,speech,Nói (言) mà đứng (立) trùm khăn thì bốn phương (方) đều phỉ báng (謗),0,傍,傲
頒,BAN/PHÂN,Ban bố,"distribute, disseminate, partition, understand",N1,ハン,"わ.かつ, わ.ける",13,頁,おおがい,leaf,Phân chia (分) giấy (頁) tờ để ban bố (頒) tin tức,0,盆,寡
郎,LANG,Con trai,"son, counter for sons",N1,"ロウ, リョウ",おとこ,9,邑,むら,town (阝 right),Con trai (郎) tốt (良) nhất với Bồ (阝),0,狼,朗
翔,TƯỜNG,Bay vút lên,"soar, fly",N1,ショウ,"かけ.る, と.ぶ",12,羽,ひつじ,feather,Dê (羊) xòe lông (羽) tung cánh bay vút lên (翔),0,祥,姜
釜,PHỦ,Cái nồi,"kettle, cauldron, iron pot",N1,フ,かま,10,金,ちち,"metal, gold",Bố (父) giấu vàng (金) trong cái nồi (釜),0,魂,斧
鮫,GIAO,Cá mập,shark,N1,コウ,"さめ, みずち",17,魚,うお,fish,Cá (魚) thích đi giao lưu (交) là cá mập (鮫),0,絞,咬
腺,TUYẾN,Các tuyến cơ thể,"gland, (kokuji)",N1,セン,,13,肉,つき,meat,Nguyệt (月) tắm dưới suối (泉) để lộ tuyến cơ thể (腺) đẹp tuyệt trần!,0,憂,請
請,THỈNH,Thỉnh cầu,"solicit, invite, ask",N1,"セイ, シン, ショウ","こ.う, う.ける",15,言,げん,speech,Lời nói (言) của thanh (青) niên là lời thỉnh cầu (請),5,腺,靖
錆,THƯƠNG,Rỉ sét,"rust, tarnish",N1,"ショウ, セイ","さび, くわ.しい",16,金,かね,"metal, gold",Vàng (金) đã chuyển thành màu xanh (青) do rỉ sét (錆),1,靖,鯖
宰,TỂ,Tể tướng,"superintend, manager, rule",N1,サイ,,10,宀,うかんむり,roof,Dưới mái (宀) triều đình chịu nhiều cay (辛) đắng là tể tướng (宰),0,萌,執
尚,THƯỢNG,Hòa thượng,"esteem, furthermore, still, yet",N1,ショウ,なお,8,小,しょう,"small, insignificant",Chú tiểu (小) ở biên giới (冂) miệng (口) tụng kinh theo hòa thượng (尚),1,窟,償
樋,THÔNG,Ống nước mưa,"water pipe, gutter, downspout, conduit",N1,トウ,"ひ, とい",14,木,き,tree,Dùng cây (木) để thông (通) ống nước mưa (樋),0,嘗,桶
摯,CHÍ,Mạnh mẽ,"gift, seriousness",N1,シ,"いた.る, つか.む, にえ",15,手,て,hand,Chấp (執) 1 tay (手) là người mạnh mẽ (摯),0,執,拙
墜,TRUY,Rơi xuống,"crash, fall (down)",N1,ツイ,"お.ちる, お.つ",15,土,つち,earth,Quân đội (隊) từ mặt đất (土) bị bắn rơi xuống (墜) khu vực,0,遂,豪
鍵,KIỆN,Chìa khóa,key,N1,ケン,かぎ,17,金,かね,"metal, gold",Chìa khóa (鍵) vàng (金) do kiến trúc (建) sư tạo ra,1,蒙,吉
舎,XÁ,Phố xá,"cottage, inn, hut, house, mansion",N1,シャ,やど.る,8,𠆢,ひとやね,person ,Ở phố xá (舎) người (人) có nhà đất ( 土) thì miệng (ロ) luôn nói cười,1,吉,只
克,KHẮC,Khắc phục,"overcome, kindly, skillfully",N1,コク,か.つ,7,儿,じゅう,legs,10 (十) điểm cho anh trai (兄) vì khắc phục (克) được mọi việc,2,只,呪
悦,DUYỆT,Mãn nguyện,"ecstasy, joy, rapture",N1,エツ,"よろこ.ぶ, よろこ.ばす",10,心,りっしんべん,heart,Trái tim (忄) mua được tivi (兌) rất mãn nguyện (悦),0,悼,閲
瞳,ĐỒNG,Đồng tử,pupil (of eye),N1,"ドウ, トウ",ひとみ,17,目,あみがしら,eye,Mắt (目) nhi đồng (童) có đồng tử (瞳) rất to,1,糧,鐘
箸,TRỨ,Đôi đũa,chopsticks,N1,"チョ, チャク",はし,15,竹,たけ,bamboo,Đũa (箸) trúc (竹) tác giả (者) dùng ăn cơm,1,躇,賭
儲,TRỮ,Tích trữ,"be profitable, yield profit",N1,チョ,"もう.ける, もう.かる, もうけ, たくわ.える",17,人,にんべん,"man, human",Người (亻) chư hầu (諸) tích trữ (儲) tài sản,2,諸,玩
冠,QUÁN,Quán quân,"crown, best, peerless",N1,カン,かんむり,9,冖,わかんむり,cover,Quán quân (冠) trùm (冖) nguyên (元) cái vương miện cảm giác hơi thốn (寸),0,玩,姑
湖,HỒ,Hồ nước,lake,N1,コ,みずうみ,12,⺡,さんずい,water,Nước (氵) + hồ (胡) = Hồ nước (湖),1,胡,糊
糊,HỒ,Hồ dán,"paste, glue, sizing",N1,"コ, ゴ, コツ",のり,15,米,こめ,rice,Dùng gạo (米) thay hồ (胡) dán (糊),0,湖,瑚
裾,CƯ,Vạt áo,"cuff, hem, foot of mountain",N1,"キョ, コ",すそ,13,衣,ころもへん,clothes,Y phục (衤) là nơi cư trú (居) của vạt áo (裾),0,据,粘
控,KHỐNG,Khống chế,"withdraw, draw in, hold back, refrain from, be moderate",N1,コウ,ひか、ひかえる、ひかえ,11,⺘,てへん,hand,Tay (扌) không (空) dễ dàng bị khống chế (控),2,項,腔
劣,LIỆT,Yếu kém,"inferiority, be inferior to, be worse",N1,レツ,おと.る,6,力,ちから,"power, force",Thiếu (少) lực (カ) bị liệt vào hàng yếu kém (劣),2,抄,賓
聡,THÔNG,Thông minh,"wise, fast learner",N1,ソウ,"さと.い, みみざと.い",14,耳,みみ,ear,Tai (耳) biết nghe công (公) tâm (心) là người thông minh (聡),0,訟,翁
翼,DỰC,Cánh chim,"wing, plane, flank",N1,ヨク,つばさ,17,羽,はね,feather,Lông (羽) dị dạng (異) vẫn tạo thành cánh (翼),1,恭,糞
智,TRÍ,Trí tuệ,"wisdom, intellect, reason",N1,チ,,12,日,ひ,"sun, day",Tri thức biết (知) tích lũy hàng ngày (日) sẽ trở thành trí tuệ (智),0,糞,痴
素,TỐ,Yếu tố,"elementary, principle, naked, uncovered",N1,ソ、ス,もと,10,⽷,いと,thread,Yếu tố (素) tạo nên ông vua lòi đầu (主) là phải có nhiều tơ (糸) lụa,12,索,累
螺,LOA,Con ốc,"small, edible, helical fresh-water mollusk",N1,ラ,"にし, にな",17,虫,むし,insect,Ốc (螺) bắt côn trùng (虫) làm thức ăn tích lũy (累),0,累,繋
繋,HỆ,Kết nối,"tie, fasten, chain, tether, connect",N1,ケイ,"つな.ぐ, かか.る, か.ける",17,糸,くるま,silk,Xe (車) của kẻ thù (殳) là hệ xe dùng tơ (糸) để kết nối (繋),0,螺,斤
逝,THỆ,Chết,"departed, die",N1,セイ,"ゆ.く, い.く",10,辵,しんにょう,walk,Chiết (折) cây đi xa (辶) sẽ chết (逝),0,哲,誓
誓,THỆ,Thề,"vow, swear, pledge",N1,セイ,ちか.う,14,言,げん,speech,Chiết (折) lời (言) hay ý đẹp để thề (誓),1,逝,匠
斥,XÍCH,Bài xích,"reject, retreat, recede, withdraw, repel, repulse",N1,セキ,しりぞ.ける,5,斤,おのづくり,axe,Cái rìu (斤) bị ông chủ (丶) bài xích (斥),0,析,訴
楼,LÂU,Lâu đài,"watchtower, lookout, high building",N1,ロウ,たかどの,13,木,き,tree,Cây (木) gạo (米) người phụ nữ (女) trồng cạnh lâu đài (楼),0,訴,昧
抹,MẠT,Mạt sát,"rub, paint, erase",N1,マツ,,8,手,てへん,hand,Tay (扌) mạt (末) sát (抹),0,魅,沫
魅,MỊ,Ma mị,"fascination, charm, bewitch",N1,ミ,,15,鬼,おに,"ghost, demon",Con quỷ (鬼) tuổi vị thành niên (未) rất ma mị (魅),1,昧,抹
臭,XÚ,Hôi thối,"stinking, ill-smelling, suspicious looking, odor, savor, fragrance, be fragrant, stink, glow, be bright",N1,シュウ,"くさ.い, -くさ.い, にお.う, にお.い",9,自,みずから,self,Ngời tự cao tự (自) đại (大) thường bốc mùi hôi thối (臭),4,憩,嗅
妥,THỎA,Thỏa thuận,"gentle, peace, satisfactory, appropriate",N1,ダ,,7,女,つめかんむり,"woman, female",Ngoắc móng tay (爫) với phụ nữ (女) để thỏa thuận (妥),1,露,如
茹,NHƯ,Luộc,"boil, seethe",N1,"ジョ, ニョ","ゆ.でる, う.でる",9,艸,くさかんむり,grass,Cô giáo Thảo (艹) hình như (如) đang luộc (茹) rau,0,如,按
露,LỘ,Sương,"dew, tears, expose, Russia",N1,"ロ, ロウ",つゆ,21,雨,あめ,rain,Mưa (雨) trên đường (路) lộ ra sương (露),6,賂,妥
織,CHỨC,Tổ chức; dệt vải,"weave, fabric",N1,ショク、シキ,お、おる、おり,18,,いとへん,thread,Tổ chức dệt vải (織) bằng tơ (糸) âm thanh (音) nghe qua (戈) là biết,2,諾,烈
烈,LIỆT,Mãnh liệt,"ardent, violent, vehement, furious, severe, extreme",N1,レツ,はげ.しい,10,火,れっか,fire,Liệt (列) thêm lửa (灬) thành mãnh liệt (烈),2,織,裂
裂,LIỆT,Xé rách,"split, rend, tear",N1,レツ,"さ.く, さ.ける, -ぎ.れ",12,衣,ころも,clothes,Liệt (列) kê những bộ y phục (衣) bị xé rách (裂),2,烈,葬
亭,ĐÌNH,Đình làng,"pavilion, restaurant, mansion, arbor, cottage, vaudeville, music hall, stage name",N1,"テイ, チン",,9,亠,なべぶた,lid,Các thanh niên đầu (亠) miệng (ロ) đều trùm khăn (冖) đóng đinh (丁) ở đình làng (亭),1,寧,准
擢,TRẠC,Đề bạt,"excel in, surpass, pull out, select",N1,"テキ, タク","ぬ.く, ぬき.んでる",17,手,てへん,hand,Tay (扌) bắt được 2 Em (ヨ) chim (隹) nên được đề bạt (擢),0,躍,奮
隻,CHÍCH,Đếm tầu,"vessels, counter for ships, fish, birds, arrows, one of a pair",N1,セキ,,10,⾫,ふるとり,small bird,Con chim (隹) đang đi lại (又) là chim chích (隻),0,雀,穫
穫,HOẠCH,Thu hoạch,"harvest, reap",N1,カク,,18,⽲,のぎへん,grain,Lúa (禾) của cô giáo Thảo (艹) đã chín chim chích (隻) bay về báo đến mùa thu hoạch (穫),1,隻,獲
歓,HOAN,Hoan nghênh,"delight, joy",N1,カン,よろこ.ぶ,15,欠,ふるとり,"lack, yawn",Buổi trưa (午) món chim (隹) bị thiếu (欠) thì không được hoan nghênh (歓),2,獲,雁
蝉,THIỀU,Ve sầu,cicada,N1,"セン, ゼン",せみ,15,虫,むし,insect,Ve sầu (蝉) là loài côn trùng (虫) sống rất đơn giản (単),0,弾,禅
耽,ĐAM,Đam mê,"addicted, absorbed in",N1,タン,ふけ.る,10,耳,みみ,ear,Đã đam mê (耽) thì tai (耳) nghe không do dự (尢),0,枕,桟
銭,TIỀN,Tiền bạc,"coin, .01 yen, money",N1,セン,ぜに,14,,かねへん,"metal, gold, mineral",Tiền (金) qua 2 lần (毛) sử dụng vẫn là tiền (銭),1,桟,践
桟,SẠN,Giá để đồ,"scaffold, cleat, frame, jetty, bolt (door)",N1,"サン, セン",かけはし,10,木,き,tree,Cây (木) qua 2 lần (毛) làm thành giá để đồ (桟),0,耽,銭
鎮,TRẤN,Trấn áp,"tranquilize, ancient peace-preservation centers",N1,チン,"しず.める, しず.まる, おさえ",18,金,かね,"metal, gold",Vàng (金) chân thật (真) trấn áp (鎮) được mọi thứ,2,慎,填
眺,THIẾU,Tầm nhìn,"stare, watch, look at, see, scrutinize",N1,チョウ,なが.める,11,目,あみがしら,eye,Tầm nhìn (眺) mắt (目) nhắm vào nghìn tỷ (兆),2,挑,桃
桃,ĐÀO,Cây đào,peach,N1,トウ,もも,10,木,き,tree,Cây (木) nghìn tỷ (兆) là cây đào (桃),0,眺,掲
鞄,BẠC,Cái cặp,"suitcase, bag, briefcase",N1,"ハク, ホウ, ビョウ",かばん,14,革,つくりがわ,"leather, rawhide",Cặp (鞄) da (革) bao (包) nhiêu tiền?,1,飽,哺
奇,KÌ,Kì lạ,"strange, strangeness, curiosity",N1,キ,"く.しき, あや.しい, くし, めずら.しい",8,大,だい,"big, very",Cái gì to (大) đều có khả năng (可) kỳ lạ (奇),3,舗,騎
椅,Y,Cái ghế,chair,N1,イ,,12,木,き,tree,Cây (木) kỳ lạ (奇) hình dáng y hệt cái ghế (椅),1,綺,儀
犠,HY,Hy sinh,sacrifice,N1,"ギ, キ",いけにえ,17,牛,うし,cow,Bò (牛) vì nghĩa (義) mà hy sinh (犠),1,儀,蟻
也,DÃ,Khá,to be (classical),N1,"ヤ, エ","なり, か, また",3,乛,たてぼう,second,Thả (丨) C (セ) khá giỏi (也),0,蟻,施
弛,THỈ,Buông lòng,"slacken, relax",N1,"チ, シ","たる.む, たる.める, たゆ.む, ゆる.む, ゆる.み",6,弓,ゆみ,bow,Buông lỏng (弛) cung (弓) để thả C (也),0,施,嗣
頻,TẦN,Tần suất,"repeatedly, recur",N1,ヒン,しき.りに,17,頁,おおがい,leaf,Tần suất (頻) đi bộ (歩) nhặt được tiền giấy (頁) rất cao,3,渉,瀕
幹,CÁN,Cán bộ,"tree trunk, main part, talent, capability",N1,カン,みき,13,⼲,かん,"to dry, shield",20 ngày (車) người (人)uống hết can (干) rượu là cán bộ (幹),2,捗,斡
韓,HÀN,Hàn quốc,Korea,N1,カン,"から, いげた",18,韋,なめしがわ,tanned leather,20 ngày (車) đều mặc áo da (韋) Hàn Quốc (韓),1,斡,廟
嘲,TRÀO,Giễu cợt,"ridicule, insult",N1,"チョウ, トウ",あざけ.る,15,口,くち,"mouth, opening",Miệng (ロ) sáng (朝) ngày ra đã trào phúng giễu cợt (嘲),0,潮,淡
溝,CÂU,Rãnh nước,"gutter, ditch, sewer, drain, 10**32",N1,コウ,みぞ,13,水,さんずい,water,Nước (氵) cấu (冓) tạo nên rãnh nước (溝),1,痰,昏
昏,HÔN,Hoàng hôn,"dark, evening, dusk",N1,コン,"くら.い, くれ",8,日,うじ,"sun, day",Có họ (氏) với mặt trời (日) là hoàng hôn (昏),1,溝,罠
堕,ĐỌA,"Sa đọa, rơi","degenerate, descend to, lapse into",N1,ダ,"お.ちる, くず.す, くず.れる",12,土,つち,earth,Bồ (阝) có (有) nhiều đất (土) nên ăn chơi sa đọa (堕),0,随,惰
砕,TOÁI,Phá vỡ,"smash, break, crush, familiar, popular",N1,サイ,"くだ.く, くだ.ける",9,石,いし,stone,Đá (石) 90 (卆) năm khó phá vỡ (砕),2,粋,惨
悠,DU,Ung dung,"permanence, distant, long time, leisure",N1,ユウ,,11,心,こころ,heart,Bị người (亻) cầm gậy (丨) đánh (攵) mà trái tim (心) vẫn ung dung (悠),2,疹,屯
是,THỊ,Thị phi,"just so, this, right, justice",N1,"ゼ, シ","これ, この, ここ",9,日,ひ,"sun, day",Cả ngày (日) hạ (下) nhân (人) gây thị phi (是),2,霧,堤
匙,THI,Cái thìa,spoon,N1,シ,さじ,11,匕,さじ,spoon,Câu chuyện thị phi (是) về cái thìa (ヒ) => (匙),0,提,稿
提,ĐỀ,Đề án,"propose, take along, carry in hand",N1,テイ,さげる、さ,12,⺘,てへん,hand,Tay (扌) đưa điều thị phi (是) vào đề án (提),7,堤,匙
縞,CẢO,Kẻ sọc,stripe,N1,コウ,"しま, しろぎぬ",16,糸,いと,silk,Tơ (糸) cao (高) cấp có kẻ ngang kẻ sọc (縞),0,稿,嵩
辿,CHẤN,Men theo,"follow (road), pursue",N1,テン,"たど.る, たどり",6,辵,やま,walk,Men theo (辿) núi (山) để đi xa (辶),1,仙,巾
仙,TIÊN,Thần tiên,"hermit, wizard, cent",N1,"セン, セント",,5,人,にんべん,"man, human",Người đứng (亻) trên núi (山) là thần tiên (仙),0,蕎,辿
凧,DIỀU,Con diều,"kite, (kokuji)",N1,,"いかのぼり, たこ",5,几,きにょう,table,Ngồi ghế (几) quàng khăn (巾) thả diều (凧),0,逓,凪
雌,THƯ,Giống cái,"feminine, female",N1,シ,"め-, めす, めん",14,隹,ふるとり,small bird,Đây (此) là con chim (隹) giống cái (雌),0,此,砦
抑,ỨC,Ức chế,"repress, well, now, in the first place, push, shove, press, seal, do in spite of",N1,ヨク,おさえる、おさ,7,⺘,てへん,hand,Tay (扌) đó xem CD (卯) nhiều nên ức chế (抑),2,仰,叩
噌,TẰNG,Ầm ĩ,boisterous,N1,"ソウ, ショウ, ソ",かまびす.しい,14,口,くち,"mouth, opening",Mồm (口) cháu (曽) kêu ầm ĩ (噌),0,僧,促
捉,TRÓC,Nắm chặt,"catch, capture",N1,"ソク, サク",とら.える,10,手,てへん,hand,Tay (扌) chân (足) nắm chặt (捉),1,促,辰
綜,TỐNG,Tổng hợp,"rule, synthesize",N1,ソウ,"おさ.める, す.べる",14,糸,いと,silk,Tơ (糸) tạo ra tông (宗) tổng hợp (綜),0,踪,崇
吾,NGÔ,"Ta, tôi","I, my, our, one's own",N1,ゴ,"われ, わが-, あ-",7,口,くち,"mouth, opening",Ta (吾) có 5 (五) cái miệng (口),0,涎,悟
彦,NGẠN,Ngưu lang,"lad, boy (ancient)",N1,ゲン,ひこ,9,彡,たつ,"bristle, beard",Đứng (立) trên sườn núi (厂) tóc (彡) bay bay là Ngưu Lang (彦) Chức Nữ,0,献,諺
寅,DẦN,Hổ/ tuổi dần,"sign of the tiger, 3-5AM, third sign of Chinese zodiac",N1,イン,とら,11,宀,うかんむり,roof,Người tuổi Dần (hổ) (寅) dưới mái nhà (宀) 1 (一) khi tự do (由) rất thích tám (八) chuyện,0,柚,絃
